,pre,post,sections
735,AQR,RIGR,10
736,AQR,RIR,66
737,AQR,URAVL,4
738,AQR,URYDR,2
739,AQR,URYVR,1
740,ASEL,ADAL,2
741,ASEL,AINL,50
742,ASEL,AINR,10
743,ASEL,ASGL,60
744,ASEL,ASGR,22
745,ASEL,ASJL,34
746,ASEL,AUAL,13
747,ASEL,AUAR,3
748,ASEL,AVHR,2
749,ASEL,AWAL,159
750,ASEL,CEPVR,3
751,ASEL,IL1R,5
752,ASEL,OLLR,5
753,ASEL,PVQL,5
754,ASEL,RID,12
755,ASEL,RIFL,8
756,ASEL,RIR,21
757,ASEL,RMFL,29
758,ASEL,VB02,7
759,ASER,ADAR,12
760,ASER,ADEL,2
761,ASER,AIMR,2
762,ASER,AINL,2
763,ASER,AINR,40
764,ASER,ALA,5
765,ASER,ASEL,32
766,ASER,ASGL,7
767,ASER,ASGR,71
768,ASER,ASJR,42
769,ASER,AUAL,3
770,ASER,AUAR,5
771,ASER,AVFR,12
772,ASER,AWAL,1
773,ASER,AWAR,178
774,ASER,CEPVL,9
775,ASER,IL1DL,5
776,ASER,IL1L,8
777,ASER,OLLL,5
778,ASER,OLQDL,2
779,ASER,PLNL,2
780,ASER,PVQL,1
781,ASER,PVQR,27
782,ASER,RIFR,22
783,ASER,RIR,14
784,ASER,RMFL,2
785,ASER,SABD,8
786,ASER,URBL,1
787,ASER,URYDL,3
788,ASGL,AIML,104
789,ASGL,AINR,31
790,ASGL,ASJL,8
791,ASGL,CEPVL,6
792,ASGL,PVQL,5
793,ASGL,RICL,13
794,ASGL,RID,12
795,ASGL,RMEV,8
796,ASGL,VB02,8
797,ASGR,ADAR,1
798,ASGR,AIMR,94
799,ASGR,AINL,22
800,ASGR,ASJR,33
801,ASGR,AUAR,1
802,ASGR,CEPVR,19
803,ASGR,RICR,10
804,ASGR,RIFR,6
805,ASGR,RIR,1
806,ASGR,RIS,4
807,ASGR,SABD,6
808,ASHL,ADAL,30
809,ASHL,ADFL,41
810,ASHL,ADLL,54
811,ASHL,AFDL,1
812,ASHL,AIAL,71
813,ASHL,AIBL,60
814,ASHL,AIML,2
815,ASHL,AIYL,5
816,ASHL,AIZL,49
817,ASHL,AIZR,3
818,ASHL,ASEL,31
819,ASHL,ASGL,27
820,ASHL,ASHR,10
821,ASHL,ASIL,8
822,ASHL,AUAL,2
823,ASHL,AVAL,15
824,ASHL,AVAR,2
825,ASHL,AVBL,99
826,ASHL,AVDL,10
827,ASHL,AVDR,30
828,ASHL,AVEL,7
829,ASHL,AVFL,16
830,ASHL,AVFR,6
831,ASHL,AVHR,31
832,ASHL,AVJL,5
833,ASHL,AVJR,29
834,ASHL,AWAL,34
835,ASHL,AWBL,29
836,ASHL,HSNL,36
837,ASHL,HSNR,72
838,ASHL,OLQVL,2
839,ASHL,PVCL,3
840,ASHL,PVCR,3
841,ASHL,PVPL,8
842,ASHL,PVQL,3
843,ASHL,RIAL,12
844,ASHL,RICL,19
845,ASHL,RID,16
846,ASHL,RIFL,83
847,ASHL,RIML,32
848,ASHL,RIPL,5
849,ASHL,RIR,10
850,ASHL,SIBVR,23
851,ASHL,SMBVL,24
852,ASHL,URXL,23
853,ASHL,URYVL,5
854,ASHR,ADAR,61
855,ASHR,ADFR,32
856,ASHR,ADLR,61
857,ASHR,AIAL,1
858,ASHR,AIAR,69
859,ASHR,AIBR,52
860,ASHR,AIMR,3
861,ASHR,AIYR,4
862,ASHR,AIZL,3
863,ASHR,AIZR,41
864,ASHR,ASER,49
865,ASHR,ASGR,11
866,ASHR,ASIR,1
867,ASHR,AVAR,25
868,ASHR,AVBR,106
869,ASHR,AVDL,36
870,ASHR,AVDR,6
871,ASHR,AVER,11
872,ASHR,AVFL,11
873,ASHR,AVFR,17
874,ASHR,AVHL,48
875,ASHR,AVJL,17
876,ASHR,AVJR,4
877,ASHR,AVM,12
878,ASHR,AWAL,4
879,ASHR,AWAR,49
880,ASHR,AWBL,6
881,ASHR,AWBR,21
882,ASHR,HSNL,65
883,ASHR,HSNR,16
884,ASHR,PVCL,18
885,ASHR,PVCR,1
886,ASHR,PVPR,28
887,ASHR,PVQR,31
888,ASHR,RIAR,11
889,ASHR,RICR,26
890,ASHR,RIFL,4
891,ASHR,RIFR,72
892,ASHR,RIMR,24
893,ASHR,RIR,19
894,ASHR,RIS,3
895,ASHR,SMBVR,17
896,ASHR,URBR,4
897,ASHR,URXR,11
898,ASIL,ADEL,1
899,ASIL,ADFL,27
900,ASIL,AFDL,9
901,ASIL,AFDR,1
902,ASIL,AIAL,65
903,ASIL,AIBL,15
904,ASIL,AIML,3
905,ASIL,AINL,4
906,ASIL,AINR,24
907,ASIL,AIYL,36
908,ASIL,AIZL,6
909,ASIL,ASEL,24
910,ASIL,ASER,58
911,ASIL,ASGL,52
912,ASIL,ASJL,15
913,ASIL,AWAL,18
914,ASIL,AWCL,116
915,ASIL,AWCR,88
916,ASIL,CEPVL,7
917,ASIL,IL1DL,4
918,ASIL,IL1L,11
919,ASIL,IL2DL,2
920,ASIL,OLLL,4
921,ASIL,OLQDL,1
922,ASIL,RIAL,1
923,ASIL,RIBL,25
924,ASIL,RIML,5
925,ASIL,SAAVL,6
926,ASIL,URYDL,2
927,ASIL,VB02,4
928,ASIR,ADAR,2
929,ASIR,ADFR,1
930,ASIR,AFDR,20
931,ASIR,AIAL,5
932,ASIR,AIAR,41
933,ASIR,AIBR,23
934,ASIR,AINL,2
935,ASIR,AINR,11
936,ASIR,AIYR,10
937,ASIR,ASEL,37
938,ASIR,ASER,28
939,ASIR,ASGR,49
940,ASIR,ASIL,7
941,ASIR,ASJR,23
942,ASIR,AUAR,13
943,ASIR,AWAR,28
944,ASIR,AWCL,34
945,ASIR,AWCR,160
946,ASIR,CEPDR,2
947,ASIR,CEPVR,13
948,ASIR,IL1DR,4
949,ASIR,IL1R,7
950,ASIR,IL2DR,5
951,ASIR,OLLR,5
952,ASIR,OLQDR,3
953,ASIR,RIAR,5
954,ASIR,RIBR,44
955,ASIR,RIMR,11
956,ASIR,RIVR,5
957,ASIR,RMFL,1
958,ASIR,SAAVR,2
959,ASIR,SABD,4
960,ASIR,URYDR,2
961,ASJL,ADEL,6
962,ASJL,AIML,109
963,ASJL,AIMR,5
964,ASJL,AINR,12
965,ASJL,ALA,65
966,ASJL,ALML,10
967,ASJL,ALNL,4
968,ASJL,AVFL,21
969,ASJL,AVFR,55
970,ASJL,AVJL,3
971,ASJL,CEPDL,5
972,ASJL,CEPVL,4
973,ASJL,IL1L,6
974,ASJL,OLLL,3
975,ASJL,PVQL,144
976,ASJL,PVQR,6
977,ASJL,RID,6
978,ASJL,VB02,5
979,ASJR,ADER,7
980,ASJR,AIMR,103
981,ASJR,AINL,12
982,ASJR,ALA,43
983,ASJR,ALMR,1
984,ASJR,ALNR,2
985,ASJR,ASJL,10
986,ASJR,AVFL,38
987,ASJR,AVFR,59
988,ASJR,AVHR,2
989,ASJR,AVJL,4
990,ASJR,AVJR,4
991,ASJR,CEPDR,2
992,ASJR,CEPVR,15
993,ASJR,IL1R,4
994,ASJR,OLLR,4
995,ASJR,OLQDR,4
996,ASJR,PLNL,2
997,ASJR,PVNR,3
998,ASJR,PVQR,136
999,ASJR,RIFR,5
1000,ASJR,SABD,4
1001,ASKL,ADLL,54
1002,ASKL,ADLR,6
1003,ASKL,AIAL,107
1004,ASKL,AIAR,8
1005,ASKL,AIBL,82
1006,ASKL,AIML,49
1007,ASKL,AINR,21
1008,ASKL,AIYL,5
1009,ASKL,ALA,24
1010,ASKL,ASEL,57
1011,ASKL,ASER,13
1012,ASKL,ASGL,13
1013,ASKL,ASHL,21
1014,ASKL,ASIL,30
1015,ASKL,ASJL,111
1016,ASKL,ASKR,12
1017,ASKL,AVFL,44
